task,model,metric,estimate,ci_low,ci_high
wedge_number,majority,accuracy,0.6423188405797101,0.6197101449275362,0.6643478260869565
wedge_number,majority,macro_f1,0.03724807960600407,0.03658504949641406,0.041394937279082875
wedge_number,majority,three_wedge_accuracy,0.6968115942028985,0.6753623188405797,0.7194202898550724
wedge_number,majority,circular_wedge_mae,2.0956057007125892,1.9199196369586218,2.266791993295983
wedge_number,logistic,accuracy,0.11536231884057971,0.09971014492753623,0.13159420289855073
wedge_number,logistic,macro_f1,0.06556665175665136,0.05180756766554406,0.07883097753527456
wedge_number,logistic,three_wedge_accuracy,0.3501449275362319,0.32869565217391306,0.37333333333333335
wedge_number,logistic,circular_wedge_mae,3.7453115547489415,3.6040858646635265,3.902485375215199
wedge_number,knn,accuracy,0.6423188405797101,0.6197101449275362,0.664927536231884
wedge_number,knn,macro_f1,0.03724807960600407,0.036564625850340135,0.04134941366086811
wedge_number,knn,three_wedge_accuracy,0.6968115942028985,0.6741884057971015,0.7171159420289855
wedge_number,knn,circular_wedge_mae,2.0956057007125892,1.9229766136312345,2.2718809134302145
wedge_number,extra_trees,accuracy,0.6684057971014493,0.6452028985507247,0.6910144927536231
wedge_number,extra_trees,macro_f1,0.12058491684421842,0.10357809477581509,0.13821698949178668
wedge_number,extra_trees,three_wedge_accuracy,0.7356521739130435,0.7153623188405797,0.7565217391304347
wedge_number,extra_trees,circular_wedge_mae,1.5047675804529201,1.3589232334069856,1.6412714558963122
wedge_number,random_forest,accuracy,0.6776811594202898,0.6567971014492754,0.6997101449275362
wedge_number,random_forest,macro_f1,0.10393246808545598,0.08821899351775067,0.1211764520648118
wedge_number,random_forest,three_wedge_accuracy,0.7431884057971014,0.7223188405797102,0.7652173913043478
wedge_number,random_forest,circular_wedge_mae,1.4782089552238806,1.3463137056624452,1.6110486799768
wedge_number,svc_rbf,accuracy,0.3234782608695652,0.3026086956521739,0.3443478260869565
wedge_number,svc_rbf,macro_f1,0.10510459524329242,0.08629411422112232,0.12331696058732955
wedge_number,svc_rbf,three_wedge_accuracy,0.5478260869565217,0.5246376811594203,0.572768115942029
wedge_number,svc_rbf,circular_wedge_mae,2.521276595744681,2.368239906832298,2.6854854527623404
wedge_number,mlp_deep,accuracy,0.6057971014492753,0.5826086956521739,0.6272608695652174
wedge_number,mlp_deep,macro_f1,0.15145690906224737,0.11547084780524457,0.18223027749958662
wedge_number,mlp_deep,three_wedge_accuracy,0.6857971014492754,0.6649130434782609,0.7084057971014492
wedge_number,mlp_deep,circular_wedge_mae,1.7874251497005988,1.639850534808518,1.9334222564794916
wedge_number,torch_deep,accuracy,0.10898550724637682,0.0944927536231884,0.1246376811594203
wedge_number,torch_deep,macro_f1,0.05513495425054048,0.0419766311206044,0.072978461679009
wedge_number,torch_deep,three_wedge_accuracy,0.3936231884057971,0.37043478260869567,0.4156666666666667
wedge_number,torch_deep,circular_wedge_mae,2.9044471153846154,2.7684380515201306,3.03106015485408
