task,model,sport_event_id,train_rows,test_rows,naive_regression_mae,naive_regression_rmse,naive_regression_r2,regression_mae,regression_rmse,regression_r2,accuracy,macro_f1,three_wedge_accuracy,circular_wedge_mae,balanced_accuracy,average_precision,brier_score,log_loss,positive_rate,roc_auc
wedge_19_vs_20_reranker,random_forest,sr:sport_event:66098032,872,462,,,,,,,0.9155844155844156,0.8503724495303897,,,0.8147418619116733,0.979813636845657,0.08162998905128149,0.2953422840869782,0.7478215220572805,0.9397825893782767
wedge_19_vs_20_reranker,svc_rbf,sr:sport_event:66098024,914,420,,,,,,,0.8904761904761904,0.7192513368983957,,,0.6666666666666666,0.9585363441652295,0.09904615767961326,0.37429976310804125,0.9251157994077208,0.8274908129980594
wedge_19_vs_20_reranker,svc_rbf,sr:sport_event:66098028,882,452,,,,,,,0.834070796460177,0.688484971007967,,,0.7018762757104726,0.8991623411678621,0.13713978185976292,1.0571203114045418,0.8124524892661553,0.677853666195635
wedge_19_vs_20_reranker,svc_rbf,sr:sport_event:66098032,872,462,,,,,,,0.7662337662337663,0.7149256119020957,,,0.8046858801575782,0.9741472033689629,0.14277874433947876,0.424369210267281,0.6216921058226264,0.9176564675216966
wedge_19_vs_20_reranker,mlp_deep,sr:sport_event:66098024,914,420,,,,,,,0.8809523809523809,0.682664410058027,,,0.6376811594202898,0.9224535297539214,0.10360089306274932,0.5309771088942346,0.9326857115404229,0.7729468599033817
wedge_19_vs_20_reranker,mlp_deep,sr:sport_event:66098028,882,452,,,,,,,0.8672566371681416,0.7033082443549799,,,0.6836238027947873,0.9394275874241764,0.11372558282610348,0.4346700835999894,0.8276904903321592,0.7271549693829487
wedge_19_vs_20_reranker,mlp_deep,sr:sport_event:66098032,872,462,,,,,,,0.8593073593073594,0.7903211166116227,,,0.8087290068422144,0.9677048849412202,0.10801267298738919,0.35564953346825934,0.6765855999302905,0.8944936465152099
wedge_19_vs_20_reranker,torch_deep,sr:sport_event:66098024,914,420,,,,,,,0.888095238095238,0.7442176870748299,,,0.7001734175647218,0.9102081793513206,0.10000380003614373,0.5594852204746549,0.8865540464103896,0.7543044716957761
wedge_19_vs_20_reranker,torch_deep,sr:sport_event:66098028,882,452,,,,,,,0.8163716814159292,0.6700526811077984,,,0.6915135814099544,0.9439055202917697,0.1660686161112515,0.7765861670574584,0.7976752407687724,0.7442691160307741
wedge_19_vs_20_reranker,torch_deep,sr:sport_event:66098032,872,462,,,,,,,0.7683982683982684,0.7252979911644578,,,0.8350611652498445,0.9870083237874556,0.1678820948539625,0.5543266216655067,0.5998084487436157,0.9590948135422528
